ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/pran-all-time-cream-roll-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D31684&q=low&v=1&m=400&q=low&w=200,PRAN All Time Cream Roll,6 pcs,৳ 70
https://cdn.chaldal.net/_mpimage/dan-cake-swiss-roll-chocolate-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45346&q=low&v=1&m=400&q=low&w=200,Dan Cake Swiss Roll Chocolate,200 gm,৳ 130
https://cdn.chaldal.net/_mpimage/well-food-sugar-free-cookies-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45375&q=low&v=1&m=400&q=low&w=200,Well Food Sugar Free Cookies,300 gm,৳ 216
https://cdn.chaldal.net/_mpimage/dan-cake-lemon-pound-cake-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45343&q=low&v=1&m=400&q=low&w=200,Dan Cake Lemon Pound Cake,350 gm,৳ 100
https://cdn.chaldal.net/_mpimage/flattened-rice-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45348&q=low&v=1&m=400&q=low&w=200,Flattened Rice,500 gm,৳ 45
https://cdn.chaldal.net/_mpimage/ispahani-bakery-fresh-dry-cake-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45354&q=low&v=1&m=400&q=low&w=200,Ispahani Bakery Fresh Dry Cake,350 gm,৳ 120
https://cdn.chaldal.net/_mpimage/lamisa-paratha-regular-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45358&q=low&v=1&m=400&q=low&w=200,Lamisa Paratha Regular,5 pcs,৳ 75
https://cdn.chaldal.net/_mpimage/tiffany-crunch-n-cream-hazelnut-wafers-76-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46844&q=low&v=1&m=400&q=low&w=200,Tiffany Crunch 'N' Cream Hazelnut Wafers,76 gm,৳ 99
https://cdn.chaldal.net/_mpimage/tiffany-crunch-n-cream-orange-wafers-76-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45373&q=low&v=1&m=400&q=low&w=200,Tiffany Crunch 'n' Cream Orange Wafers,76 gm,৳ 99
https://cdn.chaldal.net/_mpimage/lamisa-premium-paratha-1600-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45465&q=low&v=1&m=400&q=low&w=200,Lamisa Premium Paratha,1600 gm,৳ 300
https://cdn.chaldal.net/_mpimage/red-flattened-rice-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45367&q=low&v=1&m=400&q=low&w=200,Red Flattened Rice,500 gm,৳ 50
https://cdn.chaldal.net/_mpimage/dhaka-dough-flattened-rice-chira-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46687&q=low&v=1&m=400&q=low&w=200,Dhaka Dough Flattened Rice (Chira),200 gm,৳ 115
https://cdn.chaldal.net/_mpimage/london-swiss-roll-strawberry-cake-480-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45363&q=low&v=1&m=400&q=low&w=200,London Swiss Roll Strawberry Cake,480 gm,৳ 355
https://cdn.chaldal.net/_mpimage/london-swiss-roll-chocolate-cake-480-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45361&q=low&v=1&m=400&q=low&w=200,London Swiss Roll Chocolate Cake,480 gm,৳ 355
